Item,P5531,P3377,P2088,P856
Q97041244,0001746473,,pliant-therapeutics,https://pliantrx.com/
Q11815456,,,pekaes-s-a,https://www.pekaes.pl/
Q7942372,,,voxbone,https://www.bandwidth.com/
Q7001355,0001387713,,neulion,https://www.endeavorstreaming.com
Q30261278,0001616543,,senseonics,https://www.senseonics.com/
Q85852470,0001657573,1340437D:US,xometry,https://www.xometry.com/
Q29096796,0001580985,,zerofox,https://www.zerofox.com/
Q104481162,0001680581,,fulcrum-therapeutics,https://www.fulcrumtx.com/
Q99744291,0001690585,MGTA:US,magenta-therapeutics,https://www.magentatx.com/
Q100956120,0001693198,,goldfinch-biopharma,https://www.goldfinchbio.com/
Q17070790,0001703280,,overops,https://www.overops.com/
Q20800404,0001652044,,alphabet,https://abc.xyz/
Q22031467,,IDFCBK:IN,,
Q30269142,0001267813,,marinus-pharmaceuticals,https://marinuspharma.com/
Q96636373,0001658501,1340121D:US,havenly,https://havenly.com/
Q19802298,,1095033D:CN,carson-air,https://www.carsonair.com/
Q60741239,,,drive-ai,
Q22908307,,1304654D:LN,revolut,https://revolut.com/en-US
Q22000562,,,carwow,https://www.carwow.co.uk/
Q22248343,,,doctolib,https://www.doctolib.fr/
Q30283245,0001658247,,crinetics-pharmaceuticals,https://crinetics.com/
Q1319169,,,skyscanner,https://www.skyscanner.com/?previousCultureSource=GEO_LOCATION&redirectedFrom=www.skyscanner.net
Q5413454,,,accountor-group,https://www.accountor.com/en?country=global
Q53806597,0001711895,1572114D:US,data-camp,https://www.datacamp.com/
Q18150164,0001658153,,earnest,https://www.earnest.com/
Q48965215,,0824503D:US,intercom,https://www.intercom.com/
Q41904352,,,locationsmart,
Q7111411,,,outsystems,https://www.outsystems.com/
Q30260739,0001614170,SYBX:US,synlogic,https://www.synlogictx.com/
Q60773092,0001671400,,lola-travel-company-inc,https://lola.com/
Q20857873,,1284590D:US,cockroach-labs,https://www.cockroachlabs.com/
Q106631196,0001835830,1312075D:US,klaviyo,https://www.klaviyo.com/
Q28449348,,,ready4,
Q38819634,,,,https://www.rigetti.com/
Q46996029,0001668747,,brandless,https://brandless.com/
Q635942,0001471443,,brightsource-energy,http://www.brightsourceenergy.com/
Q28406980,0001572900,,icertis,
Q104481029,0001537512,,magnolia-medical-technologies,https://magnolia-medical.com/
Q63725648,,1411625D:GR,celonis,https://www.celonis.com/
Q27899411,,,nutonomy,http://nutonomy.com/
Q104481262,0001632083,ALPN:US,alpine-immune-sciences,https://www.alpineimmunesciences.com/
Q87556967,0001671858,SBTX:US,silverback-therapeutics,https://silverbacktx.com/
Q22907849,0001763840,1578149D:US,discord,https://discord.com/
Q16186120,,,medium,https://medium.com/
Q83256211,0001676221,,travelperk,https://www.travelperk.com/
Q36879490,0001693234,,rappi,https://www.rappi.com/index.html
Q24079926,,,bigscreen,https://bigscreenvr.com/
Q65089362,,,bonfire-studios,http://www.bonfirestudios.com/
Q107518314,0001676446,,freenome,https://www.freenome.com/
